# Athena++ data at time=2.500000e-01  cycle=350  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0250 -1.46484e-02  4.27311e-01  3.04115e-01  9.25145e-01  0.00000e+00  0.00000e+00
0251 -1.26953e-02  4.26417e-01  3.03225e-01  9.27235e-01  0.00000e+00  0.00000e+00
0252 -1.07422e-02  4.25983e-01  3.02793e-01  9.28249e-01  0.00000e+00  0.00000e+00
0253 -8.78906e-03  4.25833e-01  3.02643e-01  9.28603e-01  0.00000e+00  0.00000e+00
0254 -6.83594e-03  4.25800e-01  3.02611e-01  9.28678e-01  0.00000e+00  0.00000e+00
0255 -4.88281e-03  4.25799e-01  3.02610e-01  9.28681e-01  0.00000e+00  0.00000e+00
0256 -2.92969e-03  4.25837e-01  3.02648e-01  9.28592e-01  0.00000e+00  0.00000e+00
0257 -9.76562e-04  4.25909e-01  3.02719e-01  9.28424e-01  0.00000e+00  0.00000e+00
0258  9.76562e-04  4.25978e-01  3.02788e-01  9.28262e-01  0.00000e+00  0.00000e+00
0259  2.92969e-03  4.26037e-01  3.02846e-01  9.28125e-01  0.00000e+00  0.00000e+00
0260  4.88281e-03  4.26083e-01  3.02892e-01  9.28017e-01  0.00000e+00  0.00000e+00
0261  6.83594e-03  4.26118e-01  3.02927e-01  9.27935e-01  0.00000e+00  0.00000e+00
